date,datetime,cash_type,card,money,coffee_name
4/28/24,2024-04-28 18:29:02,card,ANON-0000-0000-0019,37.72,Latte
4/29/24,2024-04-29 11:26:32,card,ANON-0000-0000-0141,27.92,Cortado
4/29/24,2024-04-29 13:27:57,card,ANON-0000-0000-0003,27.92,Americano
4/29/24,2024-04-29 13:28:54,card,ANON-0000-0000-0003,27.92,Cortado
4/29/24,2024-04-29 13:53:36,card,ANON-0000-0000-0141,27.92,Cortado
4/29/24,2024-04-29 13:54:24,card,ANON-0000-0000-0141,32.82,Americano with Milk
4/29/24,2024-04-29 18:37:48,card,ANON-0000-0000-0140,37.72,Cappuccino
4/29/24,2024-04-29 19:12:33,card,ANON-0000-0000-0134,37.72,Cappuccino
4/29/24,2024-04-29 19:13:38,card,ANON-0000-0000-0134,37.72,Cappuccino
4/30/24,2024-04-30 10:16:41,card,ANON-0000-0000-0142,37.72,Latte
4/30/24,2024-04-30 10:34:52,card,ANON-0000-0000-0142,32.82,Americano with Milk
4/30/24,2024-04-30 10:35:48,card,ANON-0000-0000-0142,32.82,Americano with Milk
4/30/24,2024-04-30 13:41:52,card,ANON-0000-0000-0142,27.92,Americano
4/30/24,2024-04-30 13:43:00,card,ANON-0000-0000-0142,32.82,Americano with Milk
4/30/24,2024-04-30 19:19:18,card,ANON-0000-0000-0142,37.72,Cappuccino
4/30/24,2024-04-30 19:30:04,card,ANON-0000-0000-0142,32.82,Americano with Milk
4/30/24,2024-04-30 19:31:21,card,ANON-0000-0000-0142,37.72,Latte
5/2/24,2024-05-02 10:33:56,card,ANON-0000-0000-0143,27.92,Americano
5/2/24,2024-05-02 11:29:57,cash,,39,Latte
5/2/24,2024-05-02 13:49:40,card,ANON-0000-0000-0133,32.82,Americano with Milk
5/2/24,2024-05-02 18:36:22,card,ANON-0000-0000-0144,37.72,Cappuccino
5/2/24,2024-05-02 18:41:11,card,ANON-0000-0000-0024,32.82,Americano with Milk
5/2/24,2024-05-02 19:18:33,card,ANON-0000-0000-0145,37.72,Latte
5/2/24,2024-05-02 19:19:56,card,ANON-0000-0000-0145,37.72,Cappuccino
5/3/24,2024-05-03 10:11:53,cash,,39,Latte
5/3/24,2024-05-03 14:30:01,card,ANON-0000-0000-0146,37.72,Latte
5/3/24,2024-05-03 17:03:25,card,ANON-0000-0000-0147,37.72,Latte
5/6/24,2024-05-06 10:05:18,card,ANON-0000-0000-0148,27.92,Americano
5/6/24,2024-05-06 10:06:52,card,ANON-0000-0000-0149,37.72,Cappuccino
5/6/24,2024-05-06 10:08:06,card,ANON-0000-0000-0149,32.82,Americano with Milk
